Nº SAG,NOMBRE COMERCIAL ,APTITUD,SERIE,FORMULACIÓN (CÓDIGO),FORMULADO EN QUE SE BASA,INGREDIENTE ACTIVO EN QUE SE BASA,TOXICIDAD (CÓDIGO),TOXICIDAD PECES Y ALGAS,TOXICIDAD AVES,TOXICIDAD ABEJAS,INFLAMABLE,CORROSIVO,EXPLOSIVO,MODO DE ACCIÓN,TIPO DE PLAGUICIDA (NATURAL),REPRESENTANTE LEGAL,TITULAR AUTORIZACIÓN,FECHA PRIMERA AUTORIZACION,FECHA VENCIMIENTO,NORMA DE AUTORIZACION,SITUACION ,PAIS DE DESTINO (SOLO EXPORTACION)
2963,PacRite AZOXY 250 SC,FUNGICIDA,2000 Fungicida,Suspensión Concentrada (SC),"IMPULSO 25 SC, N° 2783","IMPULSO 25 SC, N° 2783",III (Poco Peligroso),Moderadamente Tóxico,Prácticamente No Tóxico,Virtualmente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico y Contacto,,Gabriel Ormeño Hofer ,ANASAC CHILE S.A.,06/07/2020,06/07/2030,1557/2014,VIGENTE,NO APLICA
2966,ActiSeal PYR,FUNGICIDA,2000 Fungicida,Suspensión Concentrada (SC),"CLON DE PENBOTEC 400 SC, N° 2567",,III (Poco Peligroso),Tóxico,Baja Toxicidad,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto,,Denny Francisco Vidal Dote,AGROFRESH CHILE COMERCIAL LTDA.,08/11/2020,08/11/2030,1557/2014,VIGENTE,NO APLICA
2967,SCHOLAR RTU,FUNGICIDA,2000 Fungicida,Termonebulizable (HN),I.A. DE CELEST 025 FS N°2386,,IV (Productos Que Normalmente No Ofrecen Peligro),Muy Tóxico,Prácticamente No Tóxico,Prácticamente No Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto,,Pedro Donoso Maslov,SYNGENTA S.A.,08/28/2020,08/28/2030,1557/2014,VIGENTE,NO APLICA
2968,APROACH POWER,FUNGICIDA,2000 Fungicida,Concentrado Emulsionable (EC),BASADO EN INGREDIENTE ACTIVO DE XXXXXX N° SAG XXXX,,II (Moderadamente Peligroso),Muy Tóxico,Ligeramente Tóxico,Virtualmente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"Sistémico, Translaminar y Preventivo",,Jorge Andrés Grau Nuñez,AGRO CORTEVA CHILE S.A,08/19/2020,08/19/2030,3670/1999,VIGENTE,NO APLICA
2969,BORDO WP,FUNGICIDA - BACTERICIDA,2000 Fungicida,Polvo Mojable (WP),"CLON CALDO BORDELES VALLES, N° 2502",,IV (Productos Que Normalmente No Ofrecen Peligro),Tóxico,Baja Toxicidad,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto y Preventivo,,WALTER RODRIGO COOPER CORTÉS,IQV CHILE SPA,10/08/2020,10/08/2030,1557/2014,VIGENTE,
2970,BORMIX WP,FUNGICIDA - BACTERICIDA,2000 Fungicida,Polvo Mojable (WP),"CLON CALDO BORDELES VALLES, N° 2502",,IV (Productos Que Normalmente No Ofrecen Peligro),Tóxico,Baja Toxicidad,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto y Preventivo,,WALTER RODRIGO COOPER CORTÉS,IQV CHILE SPA,10/08/2020,10/08/2030,1557/2014,VIGENTE,
2971,BELYAN,FUNGICIDA,2000 Fungicida,Suspensión Concentrada (SC),BASADO EN SUSTANCIA ACTIVA DE COMET (AUT. SAG N° 2.463) Y ELMUS (AUT.SAG Nº2.780),,III (Poco Peligroso),Tóxico,No Peligroso,No Peligroso,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"Sistémico, Translaminar, Protector y Curativo",,Eduardo Cerón González,BASF CHILE S.A.,10/08/2020,10/08/2030,1557/2014,VIGENTE,NO APLICA
2972,ACIERTO 140 EC,FUNGICIDA,2000 Fungicida,Concentrado Emulsionable (EC),N° SAG 2826 / N° SAG 2872 ,,II (Moderadamente Peligroso),Muy Altamente Tóxico,Ligeramente Tóxico,Prácticamente No Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"Sistémico, contacto, preventivo, curativo y erradicante",,MAURICIO ZWANZGER VUSKOVIC,AGROSPEC S.A.,11/26/2020,11/26/2030,3670/1999,VIGENTE,NO APLICA
2975,T - BUZOL 430 SC,FUNGICIDA,2000 Fungicida,Suspensión Concentrada (SC),I.A. DE T-BUZOL 25% WP N°2723,,II (Moderadamente Peligroso),Altamente Tóxico,Prácticamente No Tóxico,Ligeramente Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico,,FACUNDO GANIN,POINT INDUSTRIAL Y COMERCIAL CHILE S.A.,12/02/2020,12/02/2030,1557/2014,VIGENTE,NO APLICA
2977,MELYRA,FUNGICIDA,2000 Fungicida,Suspensión Concentrada (SC),COMET N° 2463/ CEVYA N°2962,,II (Moderadamente Peligroso),Muy Tóxico,No Peligroso,No Peligroso,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"Sistémico, Translaminar, Protector y Curativo",,"Rubén Roca, Felipe Schneider, Patricio Couso y Claudio Betanzo Greco",BASF CHILE S.A.,11/28/2020,11/28/2030,1557/2014,VIGENTE,NO APLICA
2980,POLISULFURO DE CALCIO,FUNGICIDA - INSECTICIDA - ACARICIDA - BACTERICIDA,2000 Fungicida,Concentrado Soluble (SL),,,II (Moderadamente Peligroso),Tóxico,No Tóxico,Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto,,Franziskus Horn Feja,FOSFOQUIM S.A.,12/10/2020,12/10/2030,3670/1999,VIGENTE,NO APLICA
2981,VIVARUS,FUNGICIDA - FITORREGULADOR,2000 Fungicida,Concentrado Emulsionable (EC),"CLON DE COMET, N° 2463",,II (Moderadamente Peligroso),Tóxico,Ligeramente Tóxico,Ligeramente Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto,,"Rubén Roca, Felipe Schneider, Patricio Couso o Claudio Betanzo Greco",BASF CHILE S.A.,12/23/2020,12/23/2030,1557/2014,VIGENTE,NO APLICA
2982,AZOXYSTROBIN 250 SC SOLCHEM,FUNGICIDA,2000 Fungicida,Suspensión Concentrada (SC),NO APLICA,,II (Moderadamente Peligroso),Muy Tóxico,Prácticamente No Tóxico,Virtualmente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico y Contacto,,Óscar Ham Fredes,SOLCHEM SpA,12/24/2020,12/24/2030,3670/1999,VIGENTE,NO APLICA
2983,EMESTO FUSIÓN,FUNGICIDA,2000 Fungicida,Suspensión Concentrada Para Tratamiento De Semillas (FS),N° SAG: 2873 / 2896,,II (Moderadamente Peligroso),Moderadamente Tóxico,Prácticamente No Tóxico,Prácticamente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico,,Vicente Bravo Palma,BAYER S.A.,12/24/2020,12/24/2030,3670/1999,VIGENTE,NO APLICA
2987,BOTRAN 5F,FUNGICIDA,2000 Fungicida,Suspensión Concentrada (SC),BOTRAN 75 WP,,II (Moderadamente Peligroso),Moderadamente Tóxico,Ligeramente Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto y Preventivo,,Daniel Rowlands Berger,GOWAN CHILE SpA,12/31/2020,12/31/2030,3670/1999,VIGENTE,
2988,OSPO BOT,FUNGICIDA BIOLÓGICO,2000 Fungicida,Concentrado Soluble (SL),,,III (Poco Peligroso),No Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Fungistático y Fungitóxico,Biológico microbiano,Emmanuel Baeza,INVERSIONES IBERFOL CHILE LTDA.,01/04/2021,01/04/2031,9074/2018,VIGENTE,NO APLICA
2989,OSPO VI55,FUNGICIDA BIOLÓGICO,2000 Fungicida,Polvo Mojable (WP),,,IV (Productos Que Normalmente No Ofrecen Peligro),No Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Fungistático y Fungitóxico,Biológico microbiano,Emmanuel Baeza,INVERSIONES IBERFOL CHILE LTDA.,01/04/2021,01/04/2031,9074/2018,VIGENTE,NO APLICA
2990,MICLOBUTANIL 240 EC,FUNGICIDA,2000 Fungicida,Concentrado Emulsionable (EC),CLON DE LINUS N° 2715,,III (Poco Peligroso),Moderadamente Tóxico,Ligeramente Tóxico,Virtualmente No Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"Sistémico, preventivo y curativo",,CHRISTIAN ZWANZGER RUIZ,AGROSPEC S.A.,03/09/2021,03/09/2031,1557/2014,VIGENTE, 
2991,TEBUCONAZOL 430 SC,FUNGICIDA,2000 Fungicida,Suspensión Concentrada (SC),"CLON DE VERTICE, N° 2805",,III (Poco Peligroso),Ligeramente Tóxico,Prácticamente No Tóxico,Virtualmente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"Sistémico, preventivo y curativo",,CHRISTIAN ZWANZGER RUIZ,AGROSPEC S.A.,03/31/2021,03/31/2031,1557/2014,VIGENTE,
2992,INTUITY,FUNGICIDA,2000 Fungicida,Suspensión Concentrada (SC),I.A. EN N°4222,,II (Moderadamente Peligroso),Moderadamente Tóxico,Prácticamente No Tóxico,Virtualmente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico y Translaminar,,ANDREAS GATHMANN,SUMITOMO CHEMICAL CHILE S.A.,04/01/2021,04/01/2031,3670/1999,VIGENTE,NO APLICA
2993,DIFENOCONAZOL 250 EC,FUNGICIDA,2000 Fungicida,Concentrado Emulsionable (EC),"CLON DE ERGONAZOLE, N° 2872",,II (Moderadamente Peligroso),Altamente Tóxico,Prácticamente No Tóxico,Virtualmente No Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"Sistémico, preventivo y curativo",,CHRISTIAN ZWANZGER RUIZ,AGROSPEC S.A.,04/19/2021,04/19/2031,1557/2014,VIGENTE,NO APLICA
2994,TRIOMAX 45 WP,FUNGICIDA - BACTERICIDA,2000 Fungicida,Polvo Mojable (WP),,,II (Moderadamente Peligroso),Muy Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"Sistémico, contacto, preventivo y curativo",,CESAR BESIO ROLLERO,AGRIA CHILE SpA,04/19/2021,04/19/2031,3670/1999,VIGENTE,NO APLICA
2995,ZAMIR 400 EW,FUNGICIDA,2000 Fungicida,Emulsión Aceite En Agua (EW),,,II (Moderadamente Peligroso),Tóxico,Prácticamente No Tóxico,Prácticamente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"Sistémico, Contacto, Preventivo, Curativo y Erradicante",,RODRIGO SAAVEDRA y NATALIA SAAVEDRA,MAKHTESHIM AGAN CHILE SpA,05/15/2021,05/15/2031,1557/2014,VIGENTE,
2996,SISTIVA,FUNGICIDA,2000 Fungicida,Suspensión Concentrada Para Tratamiento De Semillas (FS),FLUXAPIROXAD EN ELMUS  N°SAG 2780,,III (Poco Peligroso),Moderadamente Tóxico,Prácticamente No Tóxico,Prácticamente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico y Preventivo,,Felipe Schneider Bornemann ,BASF CHILE S.A.,10/16/2021,10/16/2031,3670/1999,VIGENTE,NO APLICA
2997,DORADO 500 EC,FUNGICIDA,2000 Fungicida,Concentrado Emulsionable (EC),BASADO EN SUSTANCIA ACTIVA DE PROPICONAZOLE 25 EC AGROSPEC (SAG N° 2822) y DIFENOCONAZOLE 25 EC AGROSPEC (SAG N° 2872),,II (Moderadamente Peligroso),Altamente Tóxico,Prácticamente No Tóxico,Prácticamente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"Sistémico, preventivo y curativo",,CHRISTIAN ZWANZGER RUIZ,AGROSPEC S.A.,10/19/2021,10/28/2029,1557/2014,VIGENTE,NO APLICA
2999,FUSIÓN 425 SC,FUNGICIDA,2000 Fungicida,Suspensión Concentrada (SC),"TELEXAMID, Autorización SAG N° 2.894 y la sustancia activa Fludioxonil del plaguicida FUSIÓN 425 SC es idéntica a la sustancia activa del plaguicida FIREWALL, Autorización SAG N° 2.918",,III (Poco Peligroso),Altamente Tóxico,Prácticamente No Tóxico,Virtualmente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto y preventivo,,CHRISTIAN ZWANZGER RUIZ,AGROSPEC S.A.,12/15/2021,12/15/2031,1557/2014,VIGENTE,NO APLICA
3017,GOAL 2 EC,HERBICIDA,3000 Herbicida,Concentrado Emulsionable (EC),NO APLICA,,IV (Productos Que Normalmente No Ofrecen Peligro),Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto y Residual,,VERÓNICA MALDONADO SISQUE JONAS,SUMMIT AGRO CHILE SpA.,07/04/2000,07/04/2030,3670/1999,VIGENTE,
3020,VENZAR,HERBICIDA,3000 Herbicida,Polvo Mojable (WP),NO APLICA,,IV (Productos Que Normalmente No Ofrecen Peligro),Tóxico,No Indica,Prácticamente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico y Residual,,Fabio Ricardo Moretto,FMC QUÍMICA CHILE LTDA.,07/04/1985,07/04/2030,1178/1984,VIGENTE,
3030,ESTERON TEN TEN,HERBICIDA,3000 Herbicida,Concentrado Emulsionable (EC),NO APLICA,,II (Moderadamente Peligroso),Moderadamente Tóxico,Prácticamente No Tóxico,Moderadamente Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Hormonal,,Jorge Andrés Grau Nuñez,AGRO CORTEVA CHILE S.A,07/08/1985,12/16/2026,1178/1984,VIGENTE,
3031,DMA 6,HERBICIDA,3000 Herbicida,Concentrado Soluble (SL),NO APLICA,,II (Moderadamente Peligroso),Prácticamente No Tóxico,Moderadamente Tóxico,Ligeramente Tóxico,NO INFLAMABLE,CORROSIVO,NO EXPLOSIVO,Hormonal,,Jorge Andrés Grau Nuñez,AGRO CORTEVA CHILE S.A,12/16/1996,12/16/2026,1178/1984,VIGENTE,
3032,GARLON 4,HERBICIDA,3000 Herbicida,Concentrado Emulsionable (EC),NO APLICA,,II (Moderadamente Peligroso),Altamente Tóxico,Baja Peligrosidad,Baja Peligrosidad,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico,,Jorge Andrés Grau Nuñez,AGRO CORTEVA CHILE S.A,01/06/1997,01/06/2027,1178/1984,VIGENTE,
3034,TORDON 24 K,HERBICIDA,3000 Herbicida,Concentrado Soluble (SL),NO APLICA,,II (Moderadamente Peligroso),Ligeramente Tóxico,Prácticamente No Tóxico,Ligeramente Tóxico,NO INFLAMABLE,CORROSIVO,NO EXPLOSIVO,Sistémico,,Jorge Andrés Grau Nuñez,AGRO CORTEVA CHILE S.A,07/08/1985,12/16/2026,1178/1984,VIGENTE,
3035,TORDON 101,HERBICIDA,3000 Herbicida,Concentrado Soluble (SL),,,II (Moderadamente Peligroso),Ligeramente Tóxico,Prácticamente No Tóxico,Virtualmente No Tóxico,INFLAMABLE,CORROSIVO,NO EXPLOSIVO,Sistémico,,Jorge Andrés Grau Nuñez,AGRO CORTEVA CHILE S.A,12/16/1996,12/16/2026,1178/1984,VIGENTE,
3041,REGLONE,HERBICIDA,3000 Herbicida,Concentrado Soluble (SL),NO APLICA,,II (Moderadamente Peligroso),Prácticamente No Tóxico,Moderadamente Tóxico,No Tóxico,NO INFLAMABLE,CORROSIVO,NO EXPLOSIVO,Contacto,,Pedro Donoso Maslov,SYNGENTA S.A.,07/29/1985,10/27/2028,1178/1984,VIGENTE,
3042,AFALON 50% WP,HERBICIDA,3000 Herbicida,Polvo Mojable (WP),NO APLICA,,IV (Productos Que Normalmente No Ofrecen Peligro),Tóxico,Levemente Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico,,RODRIGO SAAVEDRA ASPILLAGA,MAKHTESHIM AGAN CHILE SpA,07/29/1985,07/29/2030,1178/1984,VIGENTE,
3044,PYRAMIN DF,HERBICIDA,3000 Herbicida,Granulado Dispersable (WG),NO APLICA,,IV (Productos Que Normalmente No Ofrecen Peligro),Muy Tóxico,No Peligroso,No Peligroso,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico y contacto,,Eduardo Cerón González,BASF CHILE S.A.,07/29/2000,07/29/2030,3670/1999,VIGENTE,
3045,BASAGRAN,HERBICIDA,3000 Herbicida,Concentrado Soluble (SL),NO APLICA,,III (Poco Peligroso),No Peligroso,No Peligroso,No Peligroso,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto,,"Rubén Roca
Felipe Schneider
Patricio Couso 
Claudio Betanzo Greco",BASF CHILE S.A.,07/29/2000,07/29/2030,3670/1999,VIGENTE,
3047,GRAMOXONE SUPER,HERBICIDA,3000 Herbicida,Concentrado Soluble (SL),NO APLICA,,II (Moderadamente Peligroso),Altamente Tóxico,Moderadamente Tóxico,Moderadamente Tóxico,NO INFLAMABLE,CORROSIVO,NO EXPLOSIVO,Contacto,,Pedro Donoso Maslov,SYNGENTA S.A.,07/29/1985,08/16/2031,1178/1984,CANCELADO,
3050,ROUNDUP,HERBICIDA,3000 Herbicida,Concentrado Soluble (SL),NO APLICA,,IV (Productos Que Normalmente No Ofrecen Peligro),No Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico,,Yuri Charme,MONSANTO CHILE S.A.,07/29/2000,07/29/2025,3670/1999,CANCELADO,
3052,ATRANEX 50% SC,HERBICIDA,3000 Herbicida,Suspensión Concentrada (SC),NO APLICA,,II (Moderadamente Peligroso),Muy Tóxico,Prácticamente No Tóxico,Virtualmente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Residual,,RODRIGO SAAVEDRA ASPILLAGA,MAKHTESHIM AGAN CHILE SpA,07/29/1985,07/29/2030,1178/1984,VIGENTE,
3056,NUMIZOL,HERBICIDA,3000 Herbicida,Granulado Dispersable (WG),NO APLICA,,IV (Productos Que Normalmente No Ofrecen Peligro),Prácticamente No Tóxico,Prácticamente No Tóxico,Prácticamente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico,,ANDREAS GATHMANN,SUMITOMO CHEMICAL CHILE S.A.,07/29/1985,03/21/2027,1178/1984,VIGENTE,
3059,BANVEL  480 SL,HERBICIDA,3000 Herbicida,Concentrado Soluble (SL),NO APLICA,,II (Moderadamente Peligroso),Prácticamente No Tóxico,Prácticamente No Tóxico,Prácticamente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico,,Pedro Donoso Maslov,SYNGENTA S.A.,07/29/2000,07/29/2030,3670/1999,VIGENTE,
3060,USTINEX 80 % WP,HERBICIDA,3000 Herbicida,Polvo Mojable (WP),NO APLICA,,IV (Productos Que Normalmente No Ofrecen Peligro),Tóxico,Ligeramente Tóxico,Virtualmente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Residual,,ÓSCAR HAM FREDES,ÓSCAR HAM FREDES,01/08/2003,01/08/2028,3670/1999,VIGENTE,
3071,MCPA 750 SL,HERBICIDA,3000 Herbicida,Concentrado Soluble (SL),NO APLICA,,II (Moderadamente Peligroso),No Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico y hormonal,,ANDREAS GATHMANN,SUMITOMO CHEMICAL CHILE S.A.,08/02/1985,06/09/2028,1178/1984,VIGENTE,
3086,GESATOP 90 WG,HERBICIDA,3000 Herbicida,Granulado Dispersable (WG),NO APLICA,,IV (Productos Que Normalmente No Ofrecen Peligro),Muy Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Residual,,Pedro Donoso Maslov,SYNGENTA S.A.,08/30/2000,08/30/2030,3670/1999,VIGENTE,
3088,GESAPRIM 90 WG,HERBICIDA,3000 Herbicida,Granulado Dispersable (WG),NO APLICA,,IV (Productos Que Normalmente No Ofrecen Peligro),Muy Tóxico,Prácticamente No Tóxico,Prácticamente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Residual,,Pedro Donoso Maslov,SYNGENTA S.A.,08/30/2000,08/30/2030,3670/1999,VIGENTE,
3091,U 46 M-FLUID,HERBICIDA,3000 Herbicida,Concentrado Soluble (SL),NO APLICA,,II (Moderadamente Peligroso),No Indica,Moderadamente Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico y hormonal,,ANDREAS GATHMANN,SUMITOMO CHEMICAL CHILE S.A.,08/30/2000,08/30/2030,3670/1999,VIGENTE,
3092,BUTISAN S,HERBICIDA,3000 Herbicida,Suspensión Concentrada (SC),NO APLICA,,II (Moderadamente Peligroso),Nocivo,No Peligroso,No Peligroso,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Residual,,"Ruben Roca Astete, Felipe Schneider Bornemann, Patricio Couso Wetzel y Claudio Betanzo Greco",BASF CHILE S.A.,08/30/2000,08/30/2030,3670/1999,VIGENTE,
3096,KERB 50 W,HERBICIDA,3000 Herbicida,Polvo Mojable (WP),NO APLICA,,IV (Productos Que Normalmente No Ofrecen Peligro),Ligeramente Tóxico,Prácticamente No Tóxico,Virtualmente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico y contacto,,Jorge Andrés Grau Nuñez,AGRO CORTEVA CHILE S.A,08/30/2000,08/30/2030,3670/1999,VIGENTE,
3107,"2,4-D 480",HERBICIDA,3000 Herbicida,Concentrado Soluble (SL),NO APLICA,,II (Moderadamente Peligroso),Ligeramente Tóxico,Ligeramente Tóxico,Ligeramente Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Hormonal,,GUILLERMO GABRIEL PINTO,NUTRIEN AG SOLUTIONS CHILE S.A.,09/04/1985,09/04/2025,1178/1984,VIGENTE,
3131,MCPA 400 SAL K,HERBICIDA,3000 Herbicida,Concentrado Soluble (SL),NO APLICA,,II (Moderadamente Peligroso),Tóxico,Poco Tóxico,Poco Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico,,ANDREAS GATHMANN,SUMITOMO CHEMICAL CHILE S.A.,10/02/1986,03/19/2027,1178/1984,VIGENTE,
3146,LINUREX 50 WP,HERBICIDA,3000 Herbicida,Polvo Mojable (WP),NO APLICA,,IV (Productos Que Normalmente No Ofrecen Peligro),Tóxico,Levemente Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico,,"ROBERTO VARGAS GÁLVEZ
MARTIN EZEQUIEL BLANCK
CARLOS DANILOWICZ
GABRIEL GOLDSTEIN
RODRIGO SAAVEDRA ASPILLAGA 
NATALIA  SAAVEDRA ASPILLAGA
",MAKHTESHIM AGAN CHILE SpA,07/21/2005,07/21/2030,3670/1999,VIGENTE,
3161,DIUREX 50 % SC,HERBICIDA,3000 Herbicida,Suspensión Concentrada (SC),NO APLICA,,II (Moderadamente Peligroso),Moderadamente Tóxico,Ligeramente Tóxico,Virtualmente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico y Residual,,"ROBERTO VARGAS GÁLVEZ
MARTIN EZEQUIEL BLANCK
CARLOS DANILOWICZ
GABRIEL GOLDSTEIN
RODRIGO SAAVEDRA ASPILLAGA 
NATALIA  SAAVEDRA ASPILLAGA
",MAKHTESHIM AGAN CHILE SpA,06/01/2000,01/17/2027,3670/1999,VIGENTE,
3164,TRAC 50 FL,HERBICIDA,3000 Herbicida,Suspensión Concentrada (SC),NO APLICA,,IV (Productos Que Normalmente No Ofrecen Peligro),Poco Tóxico,Poco Tóxico,Prácticamente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico y Residual,,RICARDO IHNEN BECKER,ROTAM DE CHILE AGROQUÍMICA LTDA.,01/12/1988,08/12/2028,1178/1984,VIGENTE,
3165,"2,4-D AMINA 480",HERBICIDA,3000 Herbicida,Concentrado Soluble (SL),NO APLICA,,II (Moderadamente Peligroso),Prácticamente No Tóxico,Ligeramente Tóxico,Ligeramente Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico y hormonal,,RICARDO IHNEN BECKER,ROTAM DE CHILE AGROQUÍMICA LTDA.,01/14/1988,11/20/2028,1178/1984,VIGENTE,
3167,REFINE,HERBICIDA,3000 Herbicida,Granulado Dispersable (WG),NO APLICA,,IV (Productos Que Normalmente No Ofrecen Peligro),Baja Toxicidad,Baja Toxicidad,Baja Toxicidad,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico,,FABIO RICARDO MORETTO,FMC QUÍMICA CHILE LTDA.,02/05/1988,08/20/2028,1178/1984,VIGENTE,
3175,CENTURION 240 EC,HERBICIDA,3000 Herbicida,Concentrado Emulsionable (EC),NO APLICA,,III (Poco Peligroso),Ligeramente Tóxico,Prácticamente No Tóxico,Virtualmente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico,,CRISTIÁN MATÍAS KONEKAMP KÜSCH,UPL CHILE S.A.,06/10/1988,11/24/2026,1178/1984,VIGENTE,
3176,CHLORIDAZON  430 ,HERBICIDA,3000 Herbicida,Suspensión Concentrada (SC),NO APLICA,,II (Moderadamente Peligroso),Ligeramente Tóxico,Prácticamente No Tóxico,Virtualmente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Residual,,ROBERTO VICCINELLI,SIPCAM CHILE SpA. ,07/11/2000,07/11/2030,3670/1999,VIGENTE,
3179,LONDAX,HERBICIDA,3000 Herbicida,Granulado Dispersable (WG),NO APLICA,,IV (Productos Que Normalmente No Ofrecen Peligro),Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico,,CRISTIÁN MATÍAS KONEKAMP KÜSCH,UPL CHILE S.A.,06/13/1988,02/06/2027,1178/1984,VIGENTE,
3191,LONTREL 3 A,HERBICIDA,3000 Herbicida,Concentrado Soluble (SL),NO APLICA,,IV (Productos Que Normalmente No Ofrecen Peligro),Baja Peligrosidad,Baja Peligrosidad,Baja Peligrosidad,INFLAMABLE,CORROSIVO,NO EXPLOSIVO,Sistémico,,Jorge Andrés Grau Nuñez,AGRO CORTEVA CHILE S.A,01/06/1997,01/06/2027,1178/1984,VIGENTE,
3196,FLEX,HERBICIDA,3000 Herbicida,Concentrado Soluble (SL),NO APLICA,,III (Poco Peligroso),Tóxico,Prácticamente No Tóxico,Prácticamente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto y residual,,Pedro Donoso Maslov,SYNGENTA S.A.,07/26/1989,03/20/2028,1178/1984,VIGENTE,
3208,HACHE UNO 2000 175 EC,HERBICIDA,3000 Herbicida,Concentrado Emulsionable (EC),NO APLICA,,IV (Productos Que Normalmente No Ofrecen Peligro),Tóxico,Tóxico,Poco Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico,,Vicente Bravo Palma,BAYER S.A.,07/30/1990,03/20/2030,1178/1984,VIGENTE,
